,Date,Indicator
0,1991-01-02,0.0
1,1991-01-03,1.0
2,1991-01-07,0.0
3,1991-01-09,1.0
4,1991-01-11,0.0
5,1991-01-14,0.0
6,1991-01-23,0.0
7,1991-01-24,0.0
8,1991-01-25,1.0
9,1991-01-31,1.0
10,1991-02-01,1.0
11,1991-02-04,1.0
12,1991-02-05,0.0
13,1991-02-06,0.0
14,1991-02-07,0.0
15,1991-02-08,0.0
16,1991-02-11,0.0
17,1991-02-13,1.0
18,1991-02-14,1.0
19,1991-02-15,1.0
20,1991-02-19,0.0
21,1991-02-20,1.0
22,1991-02-21,1.0
23,1991-02-22,1.0
24,1991-02-26,1.0
25,1991-02-27,1.0
26,1991-02-28,0.0
27,1991-03-04,0.0
28,1991-03-05,0.0
29,1991-03-07,1.0
30,1991-03-08,0.0
31,1991-03-11,0.0
32,1991-03-12,0.0
33,1991-03-13,1.0
34,1991-03-15,0.0
35,1991-03-18,0.0
36,1991-03-20,0.0
37,1991-03-21,1.0
38,1991-03-22,0.0
39,1991-03-25,1.0
40,1991-03-26,0.0
41,1991-03-27,1.0
42,1991-04-01,1.0
43,1991-04-02,0.0
44,1991-04-03,0.0
45,1991-04-04,1.0
46,1991-04-05,1.0
47,1991-04-08,0.0
48,1991-04-09,1.0
49,1991-04-11,1.0
50,1991-04-12,1.0
51,1991-04-15,0.0
52,1991-04-16,1.0
53,1991-04-18,1.0
54,1991-04-19,0.0
55,1991-04-22,0.0
56,1991-04-23,0.0
57,1991-04-24,1.0
58,1991-04-25,0.0
59,1991-04-26,0.0
60,1991-04-29,0.0
61,1991-04-30,1.0
62,1991-05-03,0.0
63,1991-05-06,0.0
64,1991-05-07,1.0
65,1991-05-08,0.0
66,1991-05-09,1.0
67,1991-05-10,0.0
68,1991-05-13,1.0
69,1991-05-14,1.0
70,1991-05-16,1.0
71,1991-05-17,0.0
72,1991-05-20,1.0
73,1991-05-21,0.0
74,1991-05-23,1.0
75,1991-05-27,1.0
76,1991-05-29,1.0
77,1991-05-30,0.0
78,1991-05-31,0.0
79,1991-06-03,0.0
80,1991-06-04,0.0
81,1991-06-05,0.0
82,1991-06-06,0.0
83,1991-06-07,1.0
84,1991-06-11,1.0
85,1991-06-12,0.0
86,1991-06-13,1.0
87,1991-06-17,1.0
88,1991-06-18,0.0
89,1991-06-19,1.0
90,1991-06-20,0.0
91,1991-06-24,0.0
92,1991-06-25,0.0
93,1991-06-26,1.0
94,1991-06-27,0.0
95,1991-06-28,0.0
96,1991-07-02,0.0
97,1991-07-03,0.0
98,1991-07-04,1.0
99,1991-07-05,1.0
100,1991-07-08,1.0
101,1991-07-09,1.0
102,1991-07-10,1.0
103,1991-07-11,1.0
104,1991-07-12,0.0
105,1991-07-15,1.0
106,1991-07-16,0.0
107,1991-07-17,0.0
108,1991-07-19,0.0
109,1991-07-22,1.0
110,1991-07-24,1.0
111,1991-07-25,1.0
112,1991-07-26,1.0
113,1991-07-29,1.0
114,1991-07-30,1.0
115,1991-07-31,1.0
116,1991-08-01,1.0
117,1991-08-02,1.0
118,1991-08-05,0.0
119,1991-08-07,0.0
120,1991-08-08,1.0
121,1991-08-09,0.0
122,1991-08-12,1.0
123,1991-08-13,0.0
124,1991-08-14,1.0
125,1991-08-16,1.0
126,1991-08-19,0.0
127,1991-08-20,0.0
128,1991-08-21,1.0
129,1991-08-22,1.0
130,1991-08-23,1.0
131,1991-08-26,0.0
132,1991-08-27,1.0
133,1991-08-28,0.0
134,1991-08-30,0.0
135,1991-09-03,0.0
136,1991-09-04,1.0
137,1991-09-05,0.0
138,1991-09-06,0.0
139,1991-09-10,1.0
140,1991-09-13,1.0
141,1991-09-16,0.0
142,1991-09-17,0.0
143,1991-09-18,1.0
144,1991-09-20,1.0
145,1991-09-24,0.0
146,1991-09-25,1.0
147,1991-09-26,1.0
148,1991-09-27,1.0
149,1991-09-30,0.0
150,1991-10-01,0.0
151,1991-10-03,0.0
152,1991-10-04,1.0
153,1991-10-07,0.0
154,1991-10-09,1.0
155,1991-10-10,1.0
156,1991-10-11,0.0
157,1991-10-14,0.0
158,1991-10-15,1.0
159,1991-10-16,1.0
160,1991-10-18,0.0
161,1991-10-21,0.0
162,1991-10-22,0.0
163,1991-10-23,1.0
164,1991-10-24,0.0
165,1991-10-26,1.0
166,1991-10-29,0.0
167,1991-10-30,1.0
168,1991-10-31,1.0
169,1991-11-01,1.0
170,1991-11-05,0.0
171,1991-11-08,0.0
172,1991-11-11,0.0
173,1991-11-12,0.0
174,1991-11-13,0.0
175,1991-11-14,0.0
176,1991-11-15,0.0
177,1991-11-18,1.0
178,1991-11-19,0.0
179,1991-11-20,0.0
180,1991-11-22,0.0
181,1991-11-26,1.0
182,1991-11-27,0.0
183,1991-11-28,0.0
184,1991-11-29,0.0
185,1991-12-02,0.0
186,1991-12-03,1.0
187,1991-12-04,0.0
188,1991-12-05,0.0
189,1991-12-06,0.0
190,1991-12-09,0.0
191,1991-12-10,0.0
192,1991-12-11,0.0
193,1991-12-12,0.0
194,1991-12-16,0.0
195,1991-12-17,0.0
196,1991-12-18,1.0
197,1991-12-19,0.0
198,1991-12-20,1.0
199,1991-12-23,0.0
200,1991-12-24,0.0
201,1992-01-01,1.0
202,1992-01-02,1.0
203,1992-01-03,0.0
204,1992-01-06,0.0
205,1992-01-07,0.0
206,1992-01-08,1.0
207,1992-01-09,1.0
208,1992-01-13,0.0
209,1992-01-14,1.0
210,1992-01-15,0.0
211,1992-01-16,1.0
212,1992-01-20,0.0
213,1992-01-21,0.0
214,1992-01-22,1.0
215,1992-01-23,0.0
216,1992-01-24,0.0
217,1992-01-27,0.0
218,1992-01-29,1.0
219,1992-01-30,0.0
220,1992-01-31,1.0
221,1992-02-03,0.0
222,1992-02-04,0.0
223,1992-02-05,0.0
224,1992-02-06,0.0
225,1992-02-07,1.0
226,1992-02-10,1.0
227,1992-02-12,0.0
228,1992-02-13,1.0
229,1992-02-17,0.0
230,1992-02-18,0.0
231,1992-02-19,1.0
232,1992-02-20,1.0
233,1992-02-21,0.0
234,1992-02-24,1.0
235,1992-02-26,1.0
236,1992-02-27,1.0
237,1992-02-28,1.0
238,1992-02-29,1.0
239,1992-03-02,1.0
240,1992-03-03,1.0
241,1992-03-09,0.0
242,1992-03-10,0.0
243,1992-03-11,1.0
244,1992-03-12,0.0
245,1992-03-13,0.0
246,1992-03-16,0.0
247,1992-03-17,0.0
248,1992-03-18,1.0
249,1992-03-20,1.0
250,1992-03-24,1.0
251,1992-03-25,0.0
252,1992-03-27,1.0
253,1992-03-30,1.0
254,1992-03-31,0.0
255,1992-04-02,0.0
256,1992-04-03,0.0
257,1992-04-06,0.0
258,1992-04-07,1.0
259,1992-04-08,0.0
260,1992-04-10,0.0
261,1992-04-13,1.0
262,1992-04-22,0.0
263,1992-04-28,0.0
264,1992-04-29,1.0
265,1992-04-30,0.0
266,1992-05-06,1.0
267,1992-05-07,0.0
268,1992-05-11,0.0
269,1992-05-12,1.0
270,1992-05-13,0.0
271,1992-05-14,1.0
272,1992-05-18,1.0
273,1992-05-19,0.0
274,1992-05-20,0.0
275,1992-05-22,0.0
276,1992-05-25,0.0
277,1992-05-26,0.0
278,1992-05-27,0.0
279,1992-05-28,0.0
280,1992-05-29,0.0
281,1992-06-01,1.0
282,1992-06-02,0.0
283,1992-06-03,0.0
284,1992-06-04,1.0
285,1992-06-05,1.0
286,1992-06-08,0.0
287,1992-06-09,0.0
288,1992-06-10,0.0
289,1992-06-25,0.0
290,1992-07-15,0.0
291,1992-07-16,1.0
292,1992-07-17,1.0
293,1992-07-20,1.0
294,1992-07-21,0.0
295,1992-07-22,0.0
296,1992-07-23,1.0
297,1992-07-27,1.0
298,1992-07-28,0.0
299,1992-07-29,0.0
300,1992-07-30,1.0
301,1992-07-31,0.0
