Date,Close,bol_upp,bol_mid,bol_low,macd_line,macd_signal,macd_histogram,rsi_val,y,diff,1hot
1991-02-15,113.75,122.717,106.812,90.908,1.586,1.367,0.219,58.079,133.75,20.0,1.0
1991-02-19,133.75,128.084,108.125,88.166,2.999,1.696,1.302,76.674,133.75,0.0,0.0
1991-02-20,133.75,132.276,109.938,87.599,4.057,2.172,1.885,76.674,135.0,1.25,1.0
1991-02-21,135.0,136.27,111.438,86.605,4.914,2.724,2.191,77.504,145.0,10.0,1.0
1991-02-22,145.0,142.162,113.562,84.963,6.21,3.424,2.786,83.068,150.0,5.0,1.0
1991-02-26,150.0,148.407,115.625,82.843,7.492,4.241,3.251,85.182,157.5,7.5,1.0
1991-02-27,157.5,155.511,118.312,81.114,8.929,5.181,3.747,87.815,158.75,1.25,1.0
1991-02-28,158.75,161.512,121.25,80.988,10.032,6.154,3.879,88.218,155.0,-3.75,0.0
1991-03-04,155.0,165.212,124.25,83.288,10.508,7.026,3.482,79.163,155.0,0.0,0.0
1991-03-05,155.0,167.499,127.438,87.376,10.757,7.774,2.983,79.163,127.5,-27.5,0.0
1991-03-07,127.5,166.444,128.938,91.431,8.829,7.985,0.844,39.538,137.5,10.0,1.0
1991-03-08,137.5,166.605,130.5,94.395,7.952,7.978,-0.026,50.032,130.0,-7.5,0.0
1991-03-11,130.0,166.551,131.312,96.074,6.623,7.707,-1.084,43.499,125.0,-5.0,0.0
1991-03-12,125.0,166.533,131.562,96.592,5.137,7.193,-2.055,39.528,120.0,-5.0,0.0
1991-03-13,120.0,166.533,131.562,96.592,3.544,6.463,-2.918,35.762,131.5,11.5,1.0
1991-03-15,131.5,166.403,132.45,98.497,3.118,5.794,-2.675,48.728,123.0,-8.5,0.0
1991-03-18,123.0,166.035,132.912,99.79,2.11,5.057,-2.947,41.571,121.5,-1.5,0.0
1991-03-20,121.5,165.171,133.55,101.929,1.183,4.282,-3.098,40.364,119.5,-2.0,0.0
1991-03-21,119.5,163.923,134.212,104.502,0.293,3.484,-3.191,38.639,122.5,3.0,1.0
1991-03-22,122.5,163.046,134.775,106.504,-0.178,2.751,-2.93,42.867,117.5,-5.0,0.0
1991-03-25,117.5,162.691,134.962,107.234,-0.928,2.015,-2.943,37.851,120.5,3.0,1.0
1991-03-26,120.5,162.774,134.3,105.826,-1.273,1.358,-2.631,42.508,120.0,-0.5,0.0
1991-03-27,120.0,162.797,133.612,104.428,-1.568,0.772,-2.34,41.904,125.0,5.0,1.0
1991-04-01,125.0,162.539,133.112,103.686,-1.395,0.339,-1.734,50.086,127.5,2.5,1.0
1991-04-02,127.5,161.213,132.238,103.262,-1.051,0.061,-1.112,53.837,127.0,-0.5,0.0
1991-04-03,127.0,158.897,131.088,103.278,-0.808,-0.113,-0.695,52.919,125.5,-1.5,0.0
1991-04-04,125.5,154.433,129.488,104.542,-0.725,-0.235,-0.49,49.971,127.5,2.0,1.0
1991-04-05,127.5,148.723,127.925,107.127,-0.496,-0.287,-0.208,53.92,132.5,5.0,1.0
1991-04-08,132.5,143.452,126.8,110.148,0.079,-0.214,0.293,62.468,132.0,-0.5,0.0
1991-04-09,132.0,136.139,125.65,115.161,0.489,-0.074,0.562,61.159,134.0,2.0,1.0
1991-04-11,134.0,137.089,125.975,114.861,0.961,0.133,0.828,64.584,138.5,4.5,1.0
1991-04-12,138.5,137.364,126.025,114.686,1.672,0.441,1.231,71.182,145.5,7.0,1.0
1991-04-15,145.5,141.033,126.8,112.567,2.759,0.905,1.854,78.403,141.0,-4.5,0.0
1991-04-16,141.0,143.145,127.6,112.055,3.225,1.369,1.856,66.114,142.0,1.0,1.0
1991-04-18,142.0,145.072,128.7,112.328,3.632,1.822,1.811,67.424,143.0,1.0,1.0
1991-04-19,143.0,146.826,129.275,111.724,3.989,2.255,1.734,68.814,141.0,-2.0,0.0
1991-04-22,141.0,148.211,130.175,112.139,4.064,2.617,1.448,62.644,135.0,-6.0,0.0
1991-04-23,135.0,148.526,130.85,113.174,3.604,2.814,0.79,47.807,132.5,-2.5,0.0
1991-04-24,132.5,148.355,131.5,114.645,3.005,2.853,0.153,42.92,135.0,2.5,1.0
1991-04-25,135.0,148.495,132.125,115.755,2.699,2.822,-0.122,48.942,132.0,-3.0,0.0
1991-04-26,132.0,147.708,132.85,117.992,2.192,2.696,-0.504,42.704,129.5,-2.5,0.0
1991-04-29,129.5,147.089,133.3,119.511,1.571,2.471,-0.9,38.041,125.0,-4.5,0.0
1991-04-30,125.0,146.479,133.55,120.621,0.711,2.119,-1.408,31.009,130.0,5.0,1.0
1991-05-03,130.0,146.216,133.8,121.384,0.425,1.78,-1.355,44.227,127.0,-3.0,0.0
1991-05-06,127.0,146.246,133.775,121.304,-0.041,1.416,-1.457,39.048,127.0,0.0,0.0
1991-05-07,127.0,146.246,133.775,121.304,-0.406,1.052,-1.458,39.048,128.0,1.0,1.0
1991-05-08,128.0,146.068,133.9,121.732,-0.608,0.72,-1.328,42.059,127.0,-1.0,0.0
1991-05-09,127.0,146.1,133.875,121.65,-0.839,0.408,-1.247,39.791,131.0,4.0,1.0
1991-05-10,131.0,146.079,133.8,121.521,-0.693,0.188,-0.88,51.79,131.0,0.0,0.0
1991-05-13,131.0,146.068,133.75,121.432,-0.57,0.036,-0.606,51.79,133.0,2.0,1.0
1991-05-14,133.0,146.022,133.7,121.378,-0.309,-0.033,-0.276,57.437,137.5,4.5,1.0
1991-05-16,137.5,145.898,133.65,121.402,0.257,0.025,0.232,67.361,142.5,5.0,1.0
1991-05-17,142.5,145.198,133.5,121.802,1.095,0.239,0.856,74.873,139.0,-3.5,0.0
1991-05-20,139.0,144.86,133.4,121.94,1.461,0.483,0.977,63.137,151.0,12.0,1.0
1991-05-21,151.0,147.271,133.85,120.429,2.685,0.924,1.761,77.246,148.0,-3.0,0.0
1991-05-23,148.0,148.396,134.1,119.804,3.374,1.414,1.961,69.566,148.5,0.5,1.0
1991-05-27,148.5,149.883,134.475,119.067,3.916,1.914,2.002,70.137,151.0,2.5,1.0
1991-05-29,151.0,152.368,135.275,118.182,4.495,2.43,2.064,73.054,156.5,5.5,1.0
1991-05-30,156.5,155.951,136.475,116.999,5.335,3.011,2.323,78.407,147.5,-9.0,0.0
1991-05-31,147.5,157.17,137.1,117.03,5.215,3.452,1.763,57.018,143.0,-4.5,0.0
1991-06-03,143.0,157.734,137.65,117.566,4.704,3.702,1.002,49.265,143.0,0.0,0.0
1991-06-04,143.0,158.162,138.325,118.488,4.25,3.812,0.438,49.265,143.0,0.0,0.0
1991-06-05,143.0,158.128,139.225,120.322,3.846,3.819,0.027,49.265,141.5,-1.5,0.0
1991-06-06,141.5,158.215,139.8,121.385,3.366,3.728,-0.362,46.058,132.5,-9.0,0.0
1991-06-07,132.5,157.837,140.075,122.313,2.235,3.43,-1.195,31.749,135.5,3.0,1.0
1991-06-11,135.5,157.327,140.5,123.673,1.562,3.056,-1.494,39.034,142.0,6.5,1.0
1991-06-12,142.0,156.969,141.2,125.431,1.535,2.752,-1.217,51.875,138.5,-3.5,0.0
1991-06-13,138.5,156.14,141.775,127.41,1.217,2.445,-1.228,45.872,150.0,11.5,1.0
1991-06-17,150.0,156.595,142.725,128.855,1.871,2.33,-0.459,62.378,154.0,4.0,1.0
1991-06-18,154.0,157.462,143.875,130.288,2.68,2.4,0.28,66.48,148.0,-6.0,0.0
